Country,Year,Population
England,2010,985090.0
India,2010,329510.0
China,2010,371550.0
New Zealand,2010,517780.0
Philippines,2010,183770.0
Vietnam,2010,203770.0
South Africa,2010,155950.0
Italy,2010,204690.0
Malaysia,2010,129880.0
Sri Lanka,2010,96480.0
England,2015,1006540.0
India,2015,449040.0
China,2015,508870.0
New Zealand,2015,575430.0
Philippines,2015,241130.0
Vietnam,2015,235590.0
South Africa,2015,177390.0
Italy,2015,198510.0
Malaysia,2015,143420.0
Sri Lanka,2015,119700.0
England,2020,980360.0
India,2020,721050.0
China,2020,650640.0
New Zealand,2020,564840.0
Philippines,2020,310050.0
Vietnam,2020,270340.0
South Africa,2020,200240.0
Italy,2020,177840.0
Malaysia,2020,177460.0
Sri Lanka,2020,146950.0
